route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
klaipeda_bus_M6_TOKS,160185,AM6-05-5-251229-ab-1530,Maršrutinis taksi Melnragė,0,642158,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-08-5-251229-ab-1540,Maršrutinis taksi Melnragė,0,642164,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-07-5-251229-ab-1600,Maršrutinis taksi Melnragė,0,642165,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-1610,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-1620,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-1630,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-1640,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-05-5-251229-ab-1700,Maršrutinis taksi Melnragė,0,642158,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-06-5-251229-ab-1710,Maršrutinis taksi Melnragė,0,642159,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-07-5-251229-ab-1720,Maršrutinis taksi Melnragė,0,642165,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-1730,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-08-5-251229-ab-1740,Maršrutinis taksi Melnragė,0,642164,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-1800,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-1810,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-1820,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-05-5-251229-ab-1840,Maršrutinis taksi Melnragė,0,642158,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-06-5-251229-ab-1850,Maršrutinis taksi Melnragė,0,642159,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-07-5-251229-ab-1900,Maršrutinis taksi Melnragė,0,642165,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-08-5-251229-ab-1920,Maršrutinis taksi Melnragė,0,642164,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-1940,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-2000,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
